st,rptdate,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c15,c16,c17,c18,c19,c21,c22,c23,c24,c25,c27,c29,c30,c31,c32,c33,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51
AK,4/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,5/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,6/30/2020,2549,0,490,19,0,8,2,0,0,0,0,10147,0,1152,0,0,35,0,26,0,0,16,0,2,17491,17086,150,143,7,4577722,3982291,49586,46996,2590,0,0,0,351,6,0,4,0,0,0,0,0
AK,7/31/2020,2189,0,355,13,0,3,4,0,1,0,0,11859,21,1769,0,0,58,0,20,0,0,9,0,4,17985,17431,141,103,38,4698295,3769687,48413,33119,15294,0,0,0,570,2,1,16,0,0,0,0,0
AK,8/31/2020,2091,2,317,11,0,3,0,0,1,0,0,16723,32,2690,0,0,67,0,12,0,0,14,0,9,15933,15506,100,80,20,5455772,3551483,54285,41474,12811,0,0,0,567,4,1,15,0,0,0,0,0
AK,9/30/2020,3793,2,551,14,0,6,2,0,1,0,0,21954,50,3288,0,0,123,0,24,0,0,10,0,6,27633,26864,157,137,20,7230474,6719018,52176,41661,10515,0,0,0,673,2,2,37,0,0,0,0,0
AK,10/31/2020,2982,0,518,16,0,4,6,0,0,0,0,27846,55,4280,0,0,124,0,37,0,0,25,0,0,31434,30224,193,170,23,8667528,8048251,60343,49264,11079,0,0,0,633,1,0,84,0,1,0,0,0
AK,11/30/2020,1771,3,274,16,0,5,5,0,0,0,0,34035,128,5098,0,0,182,0,48,0,0,43,0,0,31859,30370,220,186,34,9089939,8426360,67829,53906,13923,0,0,0,279,1,0,76,0,0,0,0,0
AK,12/31/2020,1714,1,275,10,0,2,2,0,0,0,0,25509,98,3649,0,0,143,0,30,0,0,37,0,0,34123,32324,248,199,49,9899652,9241594,70409,50953,19456,0,0,0,446,0,1,101,0,0,0,0,0
AK,1/31/2021,1538,0,297,14,0,6,3,0,1,0,0,23463,107,3382,0,0,156,0,43,0,0,42,0,4,22480,20735,197,160,37,6393064,5780918,54886,40277,14609,0,0,0,42,0,0,82,1,0,0,0,0
AK,2/28/2021,1726,0,420,27,0,4,1,0,0,0,0,43823,108,6661,0,0,264,0,85,0,0,50,0,4,53588,50755,394,334,60,14773305,13349702,118957,92935,26022,0,0,0,686,7,2,2649,2,1,0,0,0
AK,3/31/2021,1718,2,462,23,0,3,2,0,0,0,0,56050,194,8889,0,0,403,1,110,0,0,60,0,7,70013,66184,646,572,74,19230091,17237264,177056,148107,28949,0,0,0,44,0,0,2707,5,5,1,0,0
AK,4/30/2021,1190,2,401,32,0,3,3,0,1,0,0,52545,249,8783,0,0,438,0,113,0,0,72,0,5,58679,55823,624,560,64,14342125,13017191,167196,143348,23848,0,0,0,11,0,0,2374,6,5,0,0,0
AK,5/31/2021,829,0,343,17,0,6,1,0,0,0,0,59578,168,10131,0,0,546,0,126,0,0,89,0,8,57511,54623,640,556,84,13698491,12623308,166053,134185,31868,0,0,0,15,0,0,3091,8,0,0,0,0
AK,6/30/2021,566,0,275,6,0,3,1,0,0,0,0,46136,74,7110,0,0,406,0,77,0,0,71,0,8,62151,59163,691,597,94,14701185,13718261,175104,137937,37167,0,0,0,5,0,0,2280,14,3,0,0,0
AK,7/31/2021,374,0,169,5,0,1,0,0,1,0,0,36409,39,5524,0,0,350,0,66,0,0,64,0,12,39372,37782,472,403,69,9543185,8997501,120887,94374,26513,0,0,0,3,0,0,1552,14,1,0,0,0
AK,8/31/2021,353,1,204,2,0,1,1,0,0,0,0,38162,86,6012,0,0,404,0,76,0,0,52,0,15,42089,40555,525,464,61,10270436,9795869,131764,108483,23281,0,0,0,3,0,0,1599,10,0,0,0,0
AK,9/30/2021,71,0,27,1,0,0,0,0,1,0,0,8976,0,1359,0,0,95,0,14,0,0,7,0,2,11342,10962,137,127,10,2856936,2509588,30310,26608,3702,0,0,0,8,0,0,88,0,0,0,0,0
AL,4/30/2020,1997,0,59,13,0,1,3,0,0,0,0,8051,21543,167,0,0,54,73,2,0,0,12,32,0,2336,2317,24,19,5,891412,886372,10712,8592,2120,1605,10,3,0,0,0,0,0,0,0,0,0
AL,5/31/2020,10343,0,221,30,0,1,17,0,1,1,0,32306,27629,741,0,0,135,47,5,0,0,48,22,3,19191,19008,140,114,26,5604095,5558564,53251,39907,13344,7442,25,13,0,0,0,0,0,0,0,0,0
AL,6/30/2020,38223,0,525,44,0,0,19,0,1,625,16,100392,26768,1837,3,1,235,51,8,1,0,132,19,5,77081,74472,328,198,130,21466534,20898023,114026,71253,42773,26175,30,16,235,1,1,20,0,0,0,0,0
AL,7/31/2020,51285,0,742,51,0,6,28,0,0,983,20,253482,27527,3774,4,0,310,57,19,1,0,163,38,4,196780,187926,385,251,134,56730600,54703077,157537,108432,49105,52911,55,25,1196,4,4,93,0,0,0,0,0
AL,8/31/2020,23688,0,419,37,0,1,34,0,0,1746,23,400680,27548,5921,2,1,518,54,24,2,0,255,4,5,365697,344819,714,500,214,92237767,88078667,276346,188499,87847,28682,48,37,2397,9,6,457,0,0,0,0,0
AL,9/30/2020,14308,0,275,20,0,0,18,0,2,1354,18,317435,28262,4811,4,0,362,45,18,0,0,231,23,3,299413,279226,558,341,217,74712053,70800882,212424,134835,77589,16022,16,16,9351,8,8,799,2,0,0,0,0
AL,10/31/2020,8879,0,216,26,0,0,11,0,0,1073,12,216806,21541,3589,2,0,263,57,13,1,0,202,30,7,202423,185833,438,258,180,50161586,47004764,171278,109983,61295,9441,24,16,11537,12,7,842,4,0,0,0,0
AL,11/30/2020,5819,0,180,13,0,0,8,0,0,555,6,156397,14533,3075,2,0,253,51,10,0,0,188,22,11,147592,134757,395,218,177,36270305,33858341,144826,90598,54227,6391,10,9,5013,4,9,730,0,0,0,0,0
AL,12/31/2020,4219,0,109,20,0,1,6,0,0,499,10,91827,12944,2096,1,0,192,50,8,0,0,114,41,6,86099,79069,275,155,120,21548586,20252496,98658,62489,36169,5028,14,10,2300,1,4,1308,5,0,0,0,0
AL,1/31/2021,4973,0,141,32,0,1,8,0,0,786,8,291093,14753,5067,3,0,538,58,22,1,0,198,22,7,240257,228790,593,415,178,57808524,55679341,214732,159556,55176,3923,21,2,15,0,0,2055,6,3,0,0,0
AL,2/28/2021,3514,0,96,20,0,1,18,0,0,855,11,256574,11465,4350,5,0,497,68,18,1,0,216,10,4,266695,252380,751,537,214,63586489,60973411,274607,200670,73937,3372,23,14,12,0,0,3633,1,1,0,0,0
AL,3/31/2021,4906,0,153,15,0,0,8,0,0,1274,17,291215,10555,5982,6,1,613,59,22,1,0,271,24,9,339755,322593,1026,709,317,80710475,77605197,358938,261892,97047,4737,15,9,0,0,0,5148,4,1,0,0,0
AL,4/30/2021,3451,0,92,16,0,0,2,0,1,1150,14,218477,8650,4744,7,0,537,48,19,4,0,217,8,7,228437,219533,822,589,233,54041903,52421358,295581,218695,76886,3297,12,4,0,0,0,2492,4,1,0,0,0
AL,5/31/2021,2903,0,66,10,0,3,10,0,0,3526,52,235050,8251,4974,8,2,616,40,31,2,0,222,10,7,209679,201942,773,564,209,49379736,47987361,272862,208731,64131,2661,13,8,0,0,0,1674,2,0,0,0,0
AL,6/30/2021,2183,0,42,9,0,0,4,0,0,3741,53,139440,9081,1903,10,0,400,31,14,3,0,144,17,1,185173,178762,704,504,200,44094177,42925228,310304,247094,63211,2435,5,6,1,0,0,1703,3,1,0,0,0
AL,7/31/2021,634,0,19,4,0,0,1,0,0,66,0,480,10135,26,0,0,3,57,0,0,0,0,5,0,10899,10409,42,20,0,2647502,2556976,18177,6045,0,507,12,1,0,0,0,412,0,0,0,0,0
AL,8/31/2021,686,0,11,6,0,0,0,0,0,23,1,243,12122,7,0,0,1,55,0,0,0,0,4,0,9846,9459,80,77,3,2314335,2249075,23234,22409,825,497,5,0,1,0,0,317,2,0,0,0,0
AL,9/30/2021,1205,0,0,4,0,0,0,0,0,8,0,75,8347,1,0,0,1,76,0,0,0,0,6,0,11088,10607,39,33,6,2552565,2466782,11918,10268,1650,689,1,2,1,0,0,178,0,0,0,0,0
AR,4/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
