numerator,denominator,apc,se,n_obs,design
Spend (total),income,0.433,0.016,38930,UI onset (waiting)
Spend (total),ui,0.324,0.012,38930,UI onset (waiting)
Spend (cardcash),income,0.318,0.011,38930,UI onset (waiting)
Spend (cardcash),ui,0.238,0.008,38930,UI onset (waiting)
Spend (total),income,0.318,0.009,193464,FPUC expiration
Spend (total),ui,0.221,0.006,193464,FPUC expiration
Spend (cardcash),income,0.209,0.006,193464,FPUC expiration
Spend (cardcash),ui,0.145,0.004,193464,FPUC expiration
Spend (total),income,0.305,0.02,292158,LWA
Spend (total),lwa,0.346,0.024,292158,LWA
Spend (cardcash),income,0.218,0.012,292158,LWA
Spend (cardcash),lwa,0.247,0.014,292158,LWA
Spend (total),income,0.266,0.015,151254,$300 onset
Spend (total),ui,0.407,0.023,151254,$300 onset
Spend (cardcash),income,0.185,0.009,151254,$300 onset
Spend (cardcash),ui,0.283,0.014,151254,$300 onset
Spend (total),income,0.304,0.016,74327,$300 expiration Sept states
Spend (total),ui,0.378,0.022,74327,$300 expiration Sept states
Spend (cardcash),income,0.237,0.011,74327,$300 expiration Sept states
Spend (cardcash),ui,0.295,0.014,74327,$300 expiration Sept states
Spend (total),income,0.359,0.027,71561,$300 expiration June states
Spend (total),ui,0.321,0.026,71561,$300 expiration June states
Spend (cardcash),income,0.242,0.018,71561,$300 expiration June states
Spend (cardcash),ui,0.216,0.016,71561,$300 expiration June states
Spend (total),income,0.424,0.038,27845,$300 expiration June vs. Sept states
Spend (total),ui,0.266,0.025,27845,$300 expiration June vs. Sept states
Spend (cardcash),income,0.326,0.027,27845,$300 expiration June vs. Sept states
Spend (cardcash),ui,0.205,0.016,27845,$300 expiration June vs. Sept states
