numerator,denominator,apc,se,n_obs,design
Spend (total),income,0.42,0.014,52094,UI onset (waiting)
Spend (total),ui,0.3,0.011,52094,UI onset (waiting)
Spend (cardcash),income,0.311,0.01,52094,UI onset (waiting)
Spend (cardcash),ui,0.223,0.007,52094,UI onset (waiting)
Spend (total),income,0.311,0.007,308059,FPUC expiration
Spend (total),ui,0.212,0.005,308059,FPUC expiration
Spend (cardcash),income,0.208,0.005,308059,FPUC expiration
Spend (cardcash),ui,0.142,0.003,308059,FPUC expiration
Spend (total),income,0.311,0.017,396740,LWA
Spend (total),lwa,0.359,0.021,396740,LWA
Spend (cardcash),income,0.208,0.01,396740,LWA
Spend (cardcash),lwa,0.239,0.012,396740,LWA
Spend (total),income,0.281,0.012,247770,$300 onset
Spend (total),ui,0.426,0.019,247770,$300 onset
Spend (cardcash),income,0.196,0.008,247770,$300 onset
Spend (cardcash),ui,0.298,0.012,247770,$300 onset
Spend (total),income,0.266,0.013,153277,$300 expiration Sept states
Spend (total),ui,0.326,0.017,153277,$300 expiration Sept states
Spend (cardcash),income,0.205,0.008,153277,$300 expiration Sept states
Spend (cardcash),ui,0.25,0.01,153277,$300 expiration Sept states
Spend (total),income,0.347,0.022,145978,$300 expiration June states
Spend (total),ui,0.302,0.021,145978,$300 expiration June states
Spend (cardcash),income,0.219,0.014,145978,$300 expiration June states
Spend (cardcash),ui,0.19,0.013,145978,$300 expiration June states
Spend (total),income,0.393,0.031,47623,$300 expiration June vs. Sept states
Spend (total),ui,0.225,0.019,47623,$300 expiration June vs. Sept states
Spend (cardcash),income,0.265,0.021,47623,$300 expiration June vs. Sept states
Spend (cardcash),ui,0.152,0.011,47623,$300 expiration June vs. Sept states
