numerator,denominator,apc,se,n_obs,design
Spend (total),income,0.402,0.017,51624,UI onset (waiting)
Spend (total),ui,0.286,0.012,51624,UI onset (waiting)
Spend (cardcash),income,0.3,0.012,51624,UI onset (waiting)
Spend (cardcash),ui,0.213,0.008,51624,UI onset (waiting)
Spend (total),income,0.295,0.008,293239,FPUC expiration
Spend (total),ui,0.203,0.006,293239,FPUC expiration
Spend (cardcash),income,0.199,0.005,293239,FPUC expiration
Spend (cardcash),ui,0.137,0.003,293239,FPUC expiration
Spend (total),income,0.252,0.044,393168,LWA
Spend (total),lwa,0.294,0.053,393168,LWA
Spend (cardcash),income,0.208,0.025,393168,LWA
Spend (cardcash),lwa,0.242,0.027,393168,LWA
Spend (total),income,0.28,0.013,238698,$300 onset
Spend (total),ui,0.454,0.022,238698,$300 onset
Spend (cardcash),income,0.207,0.008,238698,$300 onset
Spend (cardcash),ui,0.337,0.013,238698,$300 onset
Spend (total),income,0.265,0.015,148725,$300 expiration Sept states
Spend (total),ui,0.324,0.019,148725,$300 expiration Sept states
Spend (cardcash),income,0.208,0.01,148725,$300 expiration Sept states
Spend (cardcash),ui,0.254,0.012,148725,$300 expiration Sept states
Spend (total),income,0.348,0.032,142678,$300 expiration June states
Spend (total),ui,0.297,0.029,142678,$300 expiration June states
Spend (cardcash),income,0.222,0.02,142678,$300 expiration June states
Spend (cardcash),ui,0.19,0.017,142678,$300 expiration June states
Spend (total),income,0.522,1.196,42251,$300 expiration June vs. Sept states
Spend (total),ui,0.052,0.131,42251,$300 expiration June vs. Sept states
Spend (cardcash),income,0.776,1.383,42251,$300 expiration June vs. Sept states
Spend (cardcash),ui,0.077,0.075,42251,$300 expiration June vs. Sept states
