numerator,denominator,apc,se,n_obs,design
Spend (total),income,0.401,0.017,51612,UI onset (waiting)
Spend (total),ui,0.287,0.012,51612,UI onset (waiting)
Spend (cardcash),income,0.299,0.012,51612,UI onset (waiting)
Spend (cardcash),ui,0.214,0.008,51612,UI onset (waiting)
Spend (total),income,0.298,0.008,293155,FPUC expiration
Spend (total),ui,0.206,0.006,293155,FPUC expiration
Spend (cardcash),income,0.198,0.005,293155,FPUC expiration
Spend (cardcash),ui,0.137,0.003,293155,FPUC expiration
Spend (total),income,0.253,0.044,393050,LWA
Spend (total),lwa,0.292,0.053,393050,LWA
Spend (cardcash),income,0.21,0.025,393050,LWA
Spend (cardcash),lwa,0.243,0.027,393050,LWA
Spend (total),income,0.275,0.013,238624,$300 onset
Spend (total),ui,0.443,0.022,238624,$300 onset
Spend (cardcash),income,0.205,0.008,238624,$300 onset
Spend (cardcash),ui,0.331,0.013,238624,$300 onset
Spend (total),income,0.266,0.015,148675,$300 expiration Sept states
Spend (total),ui,0.324,0.02,148675,$300 expiration Sept states
Spend (cardcash),income,0.208,0.01,148675,$300 expiration Sept states
Spend (cardcash),ui,0.253,0.012,148675,$300 expiration Sept states
Spend (total),income,0.348,0.032,142634,$300 expiration June states
Spend (total),ui,0.295,0.029,142634,$300 expiration June states
Spend (cardcash),income,0.225,0.02,142634,$300 expiration June states
Spend (cardcash),ui,0.191,0.017,142634,$300 expiration June states
Spend (total),income,0.545,1.269,42245,$300 expiration June vs. Sept states
Spend (total),ui,0.051,0.131,42245,$300 expiration June vs. Sept states
Spend (cardcash),income,0.85,1.58,42245,$300 expiration June vs. Sept states
Spend (cardcash),ui,0.08,0.075,42245,$300 expiration June vs. Sept states
