numerator,denominator,apc,se,n_obs,design
Spend (total),income,0.406,0.018,38930,UI onset (waiting)
Spend (total),ui,0.298,0.014,38930,UI onset (waiting)
Spend (cardcash),income,0.304,0.013,38930,UI onset (waiting)
Spend (cardcash),ui,0.223,0.009,38930,UI onset (waiting)
Spend (total),income,0.305,0.01,193464,FPUC expiration
Spend (total),ui,0.213,0.007,193464,FPUC expiration
Spend (cardcash),income,0.2,0.006,193464,FPUC expiration
Spend (cardcash),ui,0.14,0.004,193464,FPUC expiration
Spend (total),income,0.272,0.052,292158,LWA
Spend (total),lwa,0.315,0.063,292158,LWA
Spend (cardcash),income,0.225,0.03,292158,LWA
Spend (cardcash),lwa,0.261,0.033,292158,LWA
Spend (total),income,0.268,0.016,151254,$300 onset
Spend (total),ui,0.421,0.026,151254,$300 onset
Spend (cardcash),income,0.2,0.01,151254,$300 onset
Spend (cardcash),ui,0.315,0.016,151254,$300 onset
Spend (total),income,0.299,0.019,74327,$300 expiration Sept states
Spend (total),ui,0.365,0.025,74327,$300 expiration Sept states
Spend (cardcash),income,0.234,0.013,74327,$300 expiration Sept states
Spend (cardcash),ui,0.286,0.015,74327,$300 expiration Sept states
Spend (total),income,0.346,0.035,71561,$300 expiration June states
Spend (total),ui,0.314,0.034,71561,$300 expiration June states
Spend (cardcash),income,0.243,0.023,71561,$300 expiration June states
Spend (cardcash),ui,0.221,0.021,71561,$300 expiration June states
Spend (total),income,0.864,0.885,27845,$300 expiration June vs. Sept states
Spend (total),ui,0.202,0.183,27845,$300 expiration June vs. Sept states
Spend (cardcash),income,0.553,0.596,27845,$300 expiration June vs. Sept states
Spend (cardcash),ui,0.129,0.104,27845,$300 expiration June vs. Sept states
