numerator,denominator,apc,se,n_obs,design
Spend (total),income,0.408,0.039,8300,UI onset (waiting)
Spend (total),ui,0.305,0.03,8300,UI onset (waiting)
Spend (cardcash),income,0.288,0.027,8300,UI onset (waiting)
Spend (cardcash),ui,0.215,0.02,8300,UI onset (waiting)
Spend (total),income,0.37,0.192,26212,FPUC expiration
Spend (total),ui,0.246,0.108,26212,FPUC expiration
Spend (cardcash),income,0.235,0.107,26212,FPUC expiration
Spend (cardcash),ui,0.156,0.059,26212,FPUC expiration
Spend (total),income,0.287,0.101,80584,LWA
Spend (total),lwa,0.349,0.126,80584,LWA
Spend (cardcash),income,0.213,0.057,80584,LWA
Spend (cardcash),lwa,0.26,0.064,80584,LWA
Spend (total),income,1.124,1.725,16676,$300 onset
Spend (total),ui,0.518,0.433,16676,$300 onset
Spend (cardcash),income,1.339,2.098,16676,$300 onset
Spend (cardcash),ui,0.617,0.301,16676,$300 onset
Spend (total),income,0.252,0.13,4774,$300 expiration Sept states
Spend (total),ui,0.359,0.199,4774,$300 expiration Sept states
Spend (cardcash),income,0.234,0.09,4774,$300 expiration Sept states
Spend (cardcash),ui,0.333,0.115,4774,$300 expiration Sept states
Spend (total),income,0.152,0.505,3896,$300 expiration June states
Spend (total),ui,0.149,0.571,3896,$300 expiration June states
Spend (cardcash),income,0.213,0.246,3896,$300 expiration June states
Spend (cardcash),ui,0.208,0.325,3896,$300 expiration June states
Spend (total),income,-0.07,1.217,8258,$300 expiration June vs. Sept states
Spend (total),ui,-0.026,0.418,8258,$300 expiration June vs. Sept states
Spend (cardcash),income,0.163,0.532,8258,$300 expiration June vs. Sept states
Spend (cardcash),ui,0.06,0.251,8258,$300 expiration June vs. Sept states
