numerator,denominator,apc,se,n_obs,design
Spend (total),income,0.293,0.02,24640,UI onset (waiting)
Spend (total),ui,0.211,0.015,24640,UI onset (waiting)
Spend (cardcash),income,0.203,0.013,24640,UI onset (waiting)
Spend (cardcash),ui,0.146,0.009,24640,UI onset (waiting)
Spend (total),income,0.2,0.011,167837,FPUC expiration
Spend (total),ui,0.137,0.008,167837,FPUC expiration
Spend (cardcash),income,0.122,0.006,167837,FPUC expiration
Spend (cardcash),ui,0.084,0.004,167837,FPUC expiration
Spend (total),income,0.207,0.025,195330,LWA
Spend (total),lwa,0.24,0.03,195330,LWA
Spend (cardcash),income,0.103,0.013,195330,LWA
Spend (cardcash),lwa,0.12,0.016,195330,LWA
Spend (total),income,0.193,0.018,139708,$300 onset
Spend (total),ui,0.288,0.028,139708,$300 onset
Spend (cardcash),income,0.126,0.011,139708,$300 onset
Spend (cardcash),ui,0.188,0.016,139708,$300 onset
Spend (total),income,0.176,0.019,90254,$300 expiration Sept states
Spend (total),ui,0.215,0.024,90254,$300 expiration Sept states
Spend (cardcash),income,0.134,0.011,90254,$300 expiration Sept states
Spend (cardcash),ui,0.164,0.014,90254,$300 expiration Sept states
Spend (total),income,0.224,0.034,85642,$300 expiration June states
Spend (total),ui,0.199,0.032,85642,$300 expiration June states
Spend (cardcash),income,0.125,0.02,85642,$300 expiration June states
Spend (cardcash),ui,0.111,0.018,85642,$300 expiration June states
Spend (total),income,0.243,0.048,22792,$300 expiration June vs. Sept states
Spend (total),ui,0.137,0.028,22792,$300 expiration June vs. Sept states
Spend (cardcash),income,0.148,0.029,22792,$300 expiration June vs. Sept states
Spend (cardcash),ui,0.083,0.017,22792,$300 expiration June vs. Sept states
