design,apc,apc_total,apc share of total apc,spending_category,denominator,se,n_obs,spend_category_unemp,spend_category_emp
UI onset (waiting),0.43,0.175,2.4571428571428573,total_spend,income,0.016,52094,3551.0445502664265,4590.331293204797
UI onset (waiting),0.324,0.175,1.8514285714285716,total_spend_cardcash,income,0.012,52094,2051.0869021608423,2836.6127886197974
UI onset (waiting),0.175,0.175,1,total_categorized_spending_post_winsor,income,0.006,52094,1379.1823170620012,1829.2172311779918
UI onset (waiting),0.17300000000000001,0.175,0.9885714285714288,sum of apcs,NA,NA,NA,NA,NA
UI onset (waiting),0.123,0.175,0.7028571428571428,uncatergorized_spend,income,0.01,52094,1614.4072984601382,1973.1202539383967
UI onset (waiting),0.043,0.175,0.24571428571428572,debt_payments,income,0.005,52094,604.7168265013642,792.2278363508112
UI onset (waiting),0.041,0.175,0.23428571428571432,on_us_creditcard_pmts,income,0.005,52094,348.6984147504964,454.8316261462497
UI onset (waiting),0.04,0.175,0.2285714285714286,Groceries,income,0.002,52094,298.7299121984905,295.82516858687984
UI onset (waiting),0.036,0.175,0.2057142857142857,off_us_creditcard_pmts,income,0.004,52094,325.6417079391797,405.25853609217023
UI onset (waiting),0.03,0.175,0.17142857142857143,Other_Retail,income,0.001,52094,143.97972211079886,150.34197084411002
UI onset (waiting),0.024,0.175,0.13714285714285715,uncatergorized_spend_cardcash,income,0.002,52094,172.6916724453,279.91608088408185
UI onset (waiting),0.02,0.175,0.1142857142857143,Home_Improvement,income,0.001,52094,87.49494839185445,71.93705525511403
UI onset (waiting),0.017,0.175,0.09714285714285716,Restaurant,income,0.001,52094,133.7739634851989,256.06001269691984
UI onset (waiting),0.012,0.175,0.06857142857142857,Discount_Stores,income,0.001,52094,76.90077901140943,67.83093110745357
UI onset (waiting),0.008,0.175,0.04571428571428572,Professional_&_Personal_Services,income,0.001,52094,64.7153369160905,95.71688925464377
UI onset (waiting),0.007,0.175,0.04,Clothing,income,0.001,52094,26.954656831479003,75.40457747472372
UI onset (waiting),0.006,0.175,0.03428571428571429,Auto_Repair,income,0.001,52094,34.589305974814124,40.33388572772161
UI onset (waiting),0.005,0.175,0.028571428571428574,Telecom,income,0.001,52094,102.55980205330518,114.3533576299083
UI onset (waiting),0.005,0.175,0.028571428571428574,Transit_&_Ground_Transportation,income,0.001,52094,72.38283049500068,172.30164354573245
UI onset (waiting),0.003,0.175,0.017142857142857144,Entertainment,income,0,52094,34.534797912624676,57.784766517752175
UI onset (waiting),0.003,0.175,0.017142857142857144,Insurance,income,0.001,52094,43.973191522721535,50.15143804373384
UI onset (waiting),0.003,0.175,0.017142857142857144,Hotels_&_Rental_cars,income,0.002,52094,25.794928472701304,61.71454596755232
UI onset (waiting),0.003,0.175,0.017142857142857144,Organizations_&_Institutions,income,0.001,52094,34.13162482084764,41.31137455913473
UI onset (waiting),0.003,0.175,0.017142857142857144,Healthcare,income,0.001,52094,28.066880359203537,44.6831662355984
UI onset (waiting),0.003,0.175,0.017142857142857144,Utilities,income,0.001,52094,132.91720407570355,152.1719722313659
UI onset (waiting),0.003,0.175,0.017142857142857144,auto_loan_pmts,income,0.001,52094,59.28446172768552,84.08874817775688
UI onset (waiting),0.002,0.175,0.01142857142857143,Drug_Stores,income,0,52094,23.278607283635356,31.224676698800845
UI onset (waiting),0.002,0.175,0.01142857142857143,Flights,income,0.001,52094,4.271214184307699,21.998814013637425
UI onset (waiting),0.001,0.175,0.005714285714285715,Department_Stores,income,0,52094,7.35095039792592,22.312469386315488
UI onset (waiting),0,0.175,0,schools,income,0.001,52094,2.781660563888156,5.758515400893487
UI onset (waiting),-0,0.175,-0,mortgage_pmts,income,0.003,52094,205.55028611458457,265.5616553021396
UI onset (waiting),0,0.175,0,student_loan_pmts,income,0.001,52094,9.495406181331889,34.77069456853985
UI onset (waiting),0,0.175,0,other_loan_pmts,income,0,52094,0.05659044911773539,0.13390971079238184
FPUC expiration,0.319,0.106,3.009433962264151,total_spend,income,0.009,309077,4478.512862598695,4513.680252550921
FPUC expiration,0.222,0.106,2.0943396226415096,total_spend_cardcash,income,0.005,309077,2540.6560364216857,2756.572595227856
FPUC expiration,0.106,0.106,1,sum of apcs,NA,NA,NA,NA,NA
FPUC expiration,0.106,0.106,1,total_categorized_spending_post_winsor,income,0.003,309077,1746.0816475565364,1763.2882455464767
FPUC expiration,0.097,0.106,0.9150943396226415,uncatergorized_spend,income,0.006,309077,2053.322457076493,1962.1292487326843
FPUC expiration,0.044,0.106,0.4150943396226415,debt_payments,income,0.003,309077,788.2542910678909,797.2457424710374
FPUC expiration,0.038,0.106,0.3584905660377358,on_us_creditcard_pmts,income,0.003,309077,512.9539025829333,453.6246033855897
FPUC expiration,0.037,0.106,0.3490566037735849,off_us_creditcard_pmts,income,0.002,309077,413.60599620049345,419.7589745494351
FPUC expiration,0.02,0.106,0.18867924528301888,Groceries,income,0.001,309077,326.9788536115718,282.0734756375673
FPUC expiration,0.018,0.106,0.16981132075471697,Other_Retail,income,0.001,309077,180.03837614655134,141.52060726898367
FPUC expiration,0.01,0.106,0.09433962264150944,Restaurant,income,0,309077,216.63130218896578,245.85438471662954
FPUC expiration,0.01,0.106,0.09433962264150944,uncatergorized_spend_cardcash,income,0.001,309077,215.73295518492114,272.1683485150579
FPUC expiration,0.008,0.106,0.07547169811320754,Home_Improvement,income,0.001,309077,86.59399422571998,53.53660737323586
FPUC expiration,0.008,0.106,0.07547169811320754,Discount_Stores,income,0,309077,86.96720386044889,68.72054888775949
FPUC expiration,0.008,0.106,0.07547169811320754,Clothing,income,0,309077,45.463691846084686,68.45180460534031
FPUC expiration,0.006,0.106,0.05660377358490566,Utilities,income,0,309077,173.32840340754126,162.52616067868155
FPUC expiration,0.005,0.106,0.04716981132075472,Professional_&_Personal_Services,income,0.001,309077,82.06199215601849,93.31182271915765
FPUC expiration,0.005,0.106,0.04716981132075472,mortgage_pmts,income,0.001,309077,273.8235915885154,264.1115880214238
FPUC expiration,0.004,0.106,0.03773584905660377,Healthcare,income,0,309077,42.15795005296629,43.74041766032032
FPUC expiration,0.003,0.106,0.02830188679245283,Insurance,income,0,309077,46.32837918759449,50.65022609692847
FPUC expiration,0.003,0.106,0.02830188679245283,Auto_Repair,income,0.001,309077,47.5908031523092,38.68048920338298
FPUC expiration,0.003,0.106,0.02830188679245283,Telecom,income,0,309077,108.97499249939179,110.84910382214576
FPUC expiration,0.002,0.106,0.018867924528301886,Organizations_&_Institutions,income,0,309077,44.33659895865739,44.16005316861488
