periodid,category,group,measure,value,ct_cust,date,value_jan2020,percent_change,name,liquidity
201901,Checking account balance,Employed,mean,5580.1191047165175,77292,2019-01-01,5988.703763237119,-0.06822589239240417,Checking account balance,High Prepandemic Liquidity
201901,Checking account balance,Employed,median,3179.2788259063304,77292,2019-01-01,3554.72696698056,-0.1056194032795551,Checking account balance,High Prepandemic Liquidity
201901,Checking account balance,Unemployed,mean,5219.085499291654,3094,2019-01-01,5537.005801149097,-0.0574173683891509,Checking account balance,High Prepandemic Liquidity
201901,Checking account balance,Unemployed,median,2873.012911534101,3094,2019-01-01,3146.4020260057205,-0.0868894414038629,Checking account balance,High Prepandemic Liquidity
201901,Income,Employed,mean,5011.297288356351,77292,2019-01-01,5638.715585548314,-0.11126971872814417,Income,High Prepandemic Liquidity
201901,Income,Employed,median,3913.765053831347,77292,2019-01-01,4517.823198744961,-0.1337055741980827,Income,High Prepandemic Liquidity
201901,Income,Unemployed,mean,4969.675301018781,3094,2019-01-01,5535.573607437212,-0.1022293887770056,Income,High Prepandemic Liquidity
201901,Income,Unemployed,median,3909.8221823661343,3094,2019-01-01,4418.926637643963,-0.11520998129746451,Income,High Prepandemic Liquidity
201901,Spending (card and cash),Employed,mean,2006.3661715316878,77292,2019-01-01,2077.1082330490813,-0.03405795634132558,Spending (card and cash),High Prepandemic Liquidity
201901,Spending (card and cash),Employed,median,1632.7173182833933,77292,2019-01-01,1707.6030978040394,-0.04385432400359812,Spending (card and cash),High Prepandemic Liquidity
201901,Spending (card and cash),Unemployed,mean,2049.6481363376415,3094,2019-01-01,2112.494391944918,-0.02974978577311893,Spending (card and cash),High Prepandemic Liquidity
201901,Spending (card and cash),Unemployed,median,1593.7501299773576,3094,2019-01-01,1735.6688599118752,-0.08176601724693222,Spending (card and cash),High Prepandemic Liquidity
201901,Spending (total),Employed,mean,3838.3651016877147,77292,2019-01-01,4031.1357955514472,-0.04782044159277998,Spending (total),High Prepandemic Liquidity
201901,Spending (total),Employed,median,3050.108700374743,77292,2019-01-01,3245.2620792526527,-0.0601348594079808,Spending (total),High Prepandemic Liquidity
201901,Spending (total),Unemployed,mean,3886.400773443535,3094,2019-01-01,4071.806458017828,-0.045534012111309696,Spending (total),High Prepandemic Liquidity
201901,Spending (total),Unemployed,median,3092.0966279631084,3094,2019-01-01,3286.9501779212305,-0.0592809563305744,Spending (total),High Prepandemic Liquidity
201902,Checking account balance,Employed,mean,5889.177490809901,77292,2019-02-01,5988.703763237119,-0.01661900076577172,Checking account balance,High Prepandemic Liquidity
201902,Checking account balance,Employed,median,3563.1551633922513,77292,2019-02-01,3554.72696698056,0.0023709827758868762,Checking account balance,High Prepandemic Liquidity
201902,Checking account balance,Unemployed,mean,5472.517407683202,3094,2019-02-01,5537.005801149097,-0.011646798970756378,Checking account balance,High Prepandemic Liquidity
201902,Checking account balance,Unemployed,median,3264.426877875121,3094,2019-02-01,3146.4020260057205,0.037511052590831984,Checking account balance,High Prepandemic Liquidity
201902,Income,Employed,mean,5435.668822752342,77292,2019-02-01,5638.715585548314,-0.036009399608018744,Income,High Prepandemic Liquidity
201902,Income,Employed,median,4282.375677244014,77292,2019-02-01,4517.823198744961,-0.05211525797785843,Income,High Prepandemic Liquidity
201902,Income,Unemployed,mean,5278.498707762702,3094,2019-02-01,5535.573607437212,-0.0464405169012877,Income,High Prepandemic Liquidity
201902,Income,Unemployed,median,4150.388989778288,3094,2019-02-01,4418.926637643963,-0.06076988144090356,Income,High Prepandemic Liquidity
201902,Spending (card and cash),Employed,mean,2058.9319110049237,77292,2019-02-01,2077.1082330490813,-0.008750782340059216,Spending (card and cash),High Prepandemic Liquidity
201902,Spending (card and cash),Employed,median,1656.0411171127703,77292,2019-02-01,1707.6030978040394,-0.03019553007228515,Spending (card and cash),High Prepandemic Liquidity
201902,Spending (card and cash),Unemployed,mean,2085.4534220157616,3094,2019-02-01,2112.494391944918,-0.012800493119539347,Spending (card and cash),High Prepandemic Liquidity
