"","category","apc_category: UI onset (waiting)","apc_category/apc_total: UI onset (waiting)","spend_category_unemp/spend_total_unemp: UI onset (waiting)","empty_col","apc_category: FPUC expiration","apc_category/apc_total: FPUC expiration","spend_category_unemp/spend_total_unemp: FPUC expiration"
"1","Auto Repair",0.006,0.0342857142857143,0.0250795747211274,"",NA,NA,NA
"2","Auto Repair",NA,NA,NA,"",0.003,0.0283018867924528,0.0272557719273367
"3","Auto Repair",NA,NA,NA,"",NA,NA,NA
"4","Auto Repair",NA,NA,NA,"",NA,NA,NA
"5","Clothing",0.007,0.04,0.0195439402739002,"",NA,NA,NA
"6","Clothing",NA,NA,NA,"",0.008,0.0754716981132075,0.0260375520868148
"7","Clothing",NA,NA,NA,"",NA,NA,NA
"8","Clothing",NA,NA,NA,"",NA,NA,NA
"9","Department Stores",0.001,0.00571428571428572,0.00532993376364139,"",NA,NA,NA
"10","Department Stores",NA,NA,NA,"",0.002,0.0188679245283019,0.00740543155392788
"11","Department Stores",NA,NA,NA,"",NA,NA,NA
"12","Department Stores",NA,NA,NA,"",NA,NA,NA
"13","Discount Stores",0.012,0.0685714285714286,0.055758240270385,"",NA,NA,NA
"14","Discount Stores",NA,NA,NA,"",0.008,0.0754716981132075,0.0498070659995486
"15","Discount Stores",NA,NA,NA,"",NA,NA,NA
"16","Discount Stores",NA,NA,NA,"",NA,NA,NA
"17","Drug Stores",0.002,0.0114285714285714,0.0168785569504868,"",NA,NA,NA
"18","Drug Stores",NA,NA,NA,"",0.001,0.00943396226415094,0.0128675608169011
"19","Drug Stores",NA,NA,NA,"",NA,NA,NA
"20","Drug Stores",NA,NA,NA,"",NA,NA,NA
"21","Entertainment",0.003,0.0171428571428571,0.0250400527076016,"",NA,NA,NA
"22","Entertainment",NA,NA,NA,"",0.001,0.00943396226415094,0.024618885822169
"23","Entertainment",NA,NA,NA,"",NA,NA,NA
"24","Entertainment",NA,NA,NA,"",NA,NA,NA
"25","Flights",0.002,0.0114285714285714,0.00309691773993045,"",NA,NA,NA
"26","Flights",NA,NA,NA,"",0,0,0.00314626796053872
"27","Flights",NA,NA,NA,"",NA,NA,NA
"28","Flights",NA,NA,NA,"",NA,NA,NA
"29","Groceries",0.04,0.228571428571429,0.216599291118276,"",NA,NA,NA
