"","category","apc_category: $300 onset","apc_category/apc_total: $300 onset","spend_category_unemp/spend_total_unemp: $300 onset","empty_col","apc_category: $300 expiration Sept states","apc_category/apc_total: $300 expiration Sept states","spend_category_unemp/spend_total_unemp: $300 expiration Sept states"
"1","Auto Repair",NA,NA,NA,"",NA,NA,NA
"2","Auto Repair",NA,NA,NA,"",NA,NA,NA
"3","Auto Repair",0.001,0.00909090909090909,0.0268114486620233,"",NA,NA,NA
"4","Auto Repair",NA,NA,NA,"",0.002,0.018018018018018,0.0245799934010629
"5","Clothing",NA,NA,NA,"",NA,NA,NA
"6","Clothing",NA,NA,NA,"",NA,NA,NA
"7","Clothing",0.006,0.0545454545454545,0.0254816197257991,"",NA,NA,NA
"8","Clothing",NA,NA,NA,"",0.005,0.045045045045045,0.030302518572096
"9","Department Stores",NA,NA,NA,"",NA,NA,NA
"10","Department Stores",NA,NA,NA,"",NA,NA,NA
"11","Department Stores",0.002,0.0181818181818182,0.00854030497097318,"",NA,NA,NA
"12","Department Stores",NA,NA,NA,"",0.001,0.00900900900900901,0.00963667604445355
"13","Discount Stores",NA,NA,NA,"",NA,NA,NA
"14","Discount Stores",NA,NA,NA,"",NA,NA,NA
"15","Discount Stores",0.009,0.0818181818181818,0.0512544460333495,"",NA,NA,NA
"16","Discount Stores",NA,NA,NA,"",0.007,0.0630630630630631,0.0490853516957724
"17","Drug Stores",NA,NA,NA,"",NA,NA,NA
"18","Drug Stores",NA,NA,NA,"",NA,NA,NA
"19","Drug Stores",0.002,0.0181818181818182,0.0127364473650266,"",NA,NA,NA
"20","Drug Stores",NA,NA,NA,"",0.001,0.00900900900900901,0.0123171223006518
"21","Entertainment",NA,NA,NA,"",NA,NA,NA
"22","Entertainment",NA,NA,NA,"",NA,NA,NA
"23","Entertainment",0.002,0.0181818181818182,0.0259273050916567,"",NA,NA,NA
"24","Entertainment",NA,NA,NA,"",0.004,0.036036036036036,0.029794680720549
"25","Flights",NA,NA,NA,"",NA,NA,NA
"26","Flights",NA,NA,NA,"",NA,NA,NA
"27","Flights",0,0,0.00395616351061608,"",NA,NA,NA
"28","Flights",NA,NA,NA,"",0.002,0.018018018018018,0.00963057056667133
"29","Groceries",NA,NA,NA,"",NA,NA,NA
"30","Groceries",NA,NA,NA,"",NA,NA,NA
"31","Groceries",0.023,0.209090909090909,0.184572855415195,"",NA,NA,NA
"32","Groceries",NA,NA,NA,"",0.015,0.135135135135135,0.160150350835041
"33","Healthcare",NA,NA,NA,"",NA,NA,NA
"34","Healthcare",NA,NA,NA,"",NA,NA,NA
"35","Healthcare",0.002,0.0181818181818182,0.0276491431518789,"",NA,NA,NA
"36","Healthcare",NA,NA,NA,"",0.003,0.027027027027027,0.0265812880366021
"37","Home Improvement",NA,NA,NA,"",NA,NA,NA
"38","Home Improvement",NA,NA,NA,"",NA,NA,NA
"39","Home Improvement",0.003,0.0272727272727273,0.0444726641888765,"",NA,NA,NA
"40","Home Improvement",NA,NA,NA,"",0.006,0.0540540540540541,0.040173346897187
"41","Hotels & Rental Cars",NA,NA,NA,"",NA,NA,NA
"42","Hotels & Rental Cars",NA,NA,NA,"",NA,NA,NA
"43","Hotels & Rental Cars",0,0,0.0261084450988291,"",NA,NA,NA
"44","Hotels & Rental Cars",NA,NA,NA,"",0.005,0.045045045045045,0.0378198054823408
"45","Insurance",NA,NA,NA,"",NA,NA,NA
"46","Insurance",NA,NA,NA,"",NA,NA,NA
"47","Insurance",0.001,0.00909090909090909,0.0272066871502488,"",NA,NA,NA
"48","Insurance",NA,NA,NA,"",0.001,0.00900900900900901,0.0246436609537997
"49","Orgs & Institutions",NA,NA,NA,"",NA,NA,NA
"50","Orgs & Institutions",NA,NA,NA,"",NA,NA,NA
"51","Orgs & Institutions",0.003,0.0272727272727273,0.0254818278684928,"",NA,NA,NA
"52","Orgs & Institutions",NA,NA,NA,"",0.003,0.027027027027027,0.0234421575294009
"53","Other Retail",NA,NA,NA,"",NA,NA,NA
"54","Other Retail",NA,NA,NA,"",NA,NA,NA
"55","Other Retail",0.032,0.290909090909091,0.10803700983808,"",NA,NA,NA
"56","Other Retail",NA,NA,NA,"",0.015,0.135135135135135,0.100149914360016
"57","Prof & Personal Services",NA,NA,NA,"",NA,NA,NA
"58","Prof & Personal Services",NA,NA,NA,"",NA,NA,NA
"59","Prof & Personal Services",0.006,0.0545454545454545,0.0473579504170708,"",NA,NA,NA
"60","Prof & Personal Services",NA,NA,NA,"",0.006,0.0540540540540541,0.0485573910536275
"61","Restaurants",NA,NA,NA,"",NA,NA,NA
"62","Restaurants",NA,NA,NA,"",NA,NA,NA
"63","Restaurants",0.013,0.118181818181818,0.119789107921792,"",NA,NA,NA
"64","Restaurants",NA,NA,NA,"",0.019,0.171171171171171,0.138901121014968
"65","Schools",NA,NA,NA,"",NA,NA,NA
"66","Schools",NA,NA,NA,"",NA,NA,NA
"67","Schools",-0.001,-0.00909090909090909,0.00761726729680219,"",NA,NA,NA
"68","Schools",NA,NA,NA,"",0.001,0.00900900900900901,0.00473551273204144
"69","Telecom",NA,NA,NA,"",NA,NA,NA
"70","Telecom",NA,NA,NA,"",NA,NA,NA
"71","Telecom",0.003,0.0272727272727273,0.065822198322032,"",NA,NA,NA
"72","Telecom",NA,NA,NA,"",0.002,0.018018018018018,0.0576470897735953
"73","Transport",NA,NA,NA,"",NA,NA,NA
"74","Transport",NA,NA,NA,"",NA,NA,NA
"75","Transport",0,0,0.0623646658057096,"",NA,NA,NA
"76","Transport",NA,NA,NA,"",0.005,0.045045045045045,0.08170934262167
"77","Utilities",NA,NA,NA,"",NA,NA,NA
"78","Utilities",NA,NA,NA,"",NA,NA,NA
"79","Utilities",0.002,0.0181818181818182,0.0988124421655478,"",NA,NA,NA
"80","Utilities",NA,NA,NA,"",0.005,0.045045045045045,0.0901421054084536
