st,rptdate,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c15,c16,c17,c18,c19,c21,c22,c23,c24,c25,c27,c29,c30,c31,c32,c33,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51
AK,2/28/1974,139,0,0,50,0,0,4,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,3/31/1974,374,0,38,90,0,0,15,0,0,0,0,721,0,23,0,0,136,0,3,0,0,21,0,0,868,851,313,262,25,56183,55594,25178,22508,2120,275,89,10,0,0,0,0,0,0,0,0,0
AK,4/30/1974,227,0,100,50,0,0,10,0,0,0,0,1328,0,213,0,0,318,0,38,0,0,35,0,1,1445,1432,555,495,39,90404,89868,44452,40606,3210,295,85,10,0,0,0,0,0,0,0,0,0
AK,5/31/1974,36,0,16,13,0,0,0,0,0,0,0,124,0,244,0,0,20,0,52,0,0,0,0,7,396,393,117,97,3,21006,20872,7805,7262,300,122,32,1,2,0,0,0,0,0,0,0,0
AK,6/30/1974,6,0,20,2,0,0,2,0,0,0,0,15,0,69,0,0,4,0,28,0,0,2,0,2,68,68,53,47,6,3447,3447,3785,3465,320,16,8,2,0,0,0,0,0,0,0,0,0
AK,7/31/1974,3,0,19,1,0,0,0,0,0,0,0,2,0,46,0,0,1,0,6,0,0,0,0,3,15,15,3,3,0,526,526,267,267,0,4,1,0,0,0,0,0,0,0,0,0,0
AK,8/31/1974,0,0,15,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2,0,0,0,0,0,4,4,0,0,0,357,357,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AK,2/28/1975,241,7,131,30,0,0,10,0,0,0,0,159,20,164,0,0,27,1,17,0,0,5,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
AK,3/31/1975,409,17,282,42,0,0,7,0,0,0,0,875,103,795,0,0,95,0,68,0,0,7,2,92,2901,2865,984,544,375,194562,192856,83802,44035,37255,531,103,66,5,0,0,0,0,0,17,0,0
AK,4/30/1975,426,27,306,70,0,0,17,0,0,0,0,1539,121,1151,0,0,250,0,152,0,0,63,0,118,4837,4784,1826,1214,482,308911,306059,145459,95969,45960,606,145,60,221,51,30,0,0,0,27,0,0
AK,5/31/1975,292,85,211,43,0,0,3,0,0,0,0,1355,260,1102,0,0,184,0,157,0,0,37,0,107,3738,3693,1560,1064,415,237178,234675,124797,82902,40188,430,112,34,227,70,25,0,0,0,85,0,0
AK,6/30/1975,261,36,137,26,1,0,11,0,0,0,0,1303,214,853,0,0,182,4,129,0,0,39,0,71,3182,3129,1218,797,341,209977,207427,97765,63781,32394,343,61,28,204,66,34,0,0,0,36,1,0
AK,7/31/1975,236,40,174,13,1,0,10,0,0,0,0,1205,271,748,0,0,144,3,101,0,0,36,2,73,2857,2825,941,595,302,192176,190982,78841,48638,28855,282,48,30,218,54,25,0,0,0,40,1,0
