st,rptdate,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40
AK,4/30/2020,3904,3904,0,0,0,0,2400,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,5/31/2020,7007,7007,7731,87690,48346,8783307,3406,3406,2801,0,0,0,0,0,0,0,0,0,0,0,0,10,53,11171,452814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,6/30/2020,5369,5369,3828,82505,59359,10565778,2098,2098,37,2,0,0,0,0,0,2,0,0,0,0,0,450,3327,699709,385250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,7/31/2020,2592,2592,575,63719,26642,4944989,980,980,109,6,0,3,0,2,0,2,0,2,0,0,0,769,6957,1263423,252265,0,0,0,0,1807803,0,0,0,0,0,0,0,0,0,0
AK,8/31/2020,1354,1354,980,52713,37729,6943080,370,370,175,19,0,7,0,6,0,10,0,5,0,3,0,435,4168,799210,182259,0,0,0,0,1001279,0,0,0,0,0,0,0,0,0,0
AK,9/30/2020,1206,1206,400,43189,25120,4925463,233,233,591,41,0,22,0,10,0,21,0,10,0,6,0,424,4361,798906,154970,0,0,0,0,639910,0,0,0,0,0,0,0,0,0,0
AK,10/31/2020,1221,1221,284,42296,21083,4095850,246,246,347,43,0,25,0,3,0,16,0,6,0,2,0,599,7243,1174818,210403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,11/30/2020,1248,1248,185,46061,19868,3993181,228,228,594,30,0,17,0,5,0,16,0,7,0,4,0,629,9125,1703821,222847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,12/31/2020,1448,1441,368,49454,17521,3553457,235,234,207,15,0,10,0,1,0,15,0,7,0,0,0,993,15311,2373662,285851,993,15311,2373662,0,0,0,0,0,0,0,0,0,0,0,0
AK,1/31/2021,1785,1780,291,61828,18415,3740480,292,290,921,209,0,16,0,6,0,128,0,6,0,3,0,481,7639,1514893,308191,0,0,0,0,571544,0,0,0,0,0,0,0,0,0,0
AK,2/28/2021,1915,1915,302,41221,21381,4248779,361,361,974,170,1,36,0,22,0,100,1,21,0,12,0,486,8397,1575077,252229,0,0,0,21381,1027313,0,0,0,0,424,0,0,0,0,0
AK,3/31/2021,1883,1883,362,48797,26952,5379899,261,261,2031,142,0,52,6,36,0,91,0,24,2,16,0,699,15368,3892060,279724,0,0,0,1883,1137000,0,1035,7870,1561931,0,0,0,0,0,0
AK,4/30/2021,1525,1525,395,40840,27542,4629515,272,272,1498,118,0,114,0,37,0,63,0,78,0,25,0,660,6178,1232471,203685,0,0,0,0,1438457,0,4,96,6430,6430,0,0,0,0,0
