state_abb,month,all_first_payments
AK,2020-01-01,2293
AK,2020-02-01,1713
AK,2020-03-01,2059
AK,2020-04-01,31424
AK,2020-05-01,18816
AK,2020-06-01,10452
AK,2020-07-01,4344
AK,2020-08-01,3331
AK,2020-09-01,2746
AK,2020-10-01,2940
AK,2020-11-01,3641
AK,2020-12-01,4344
AK,2021-01-01,3020
AK,2021-02-01,3067
AK,2021-03-01,3077
AK,2021-04-01,3277
AK,2021-05-01,2383
AK,2021-06-01,2128
AK,2021-07-01,1175
AK,2021-08-01,1102
AK,2021-09-01,1647
AL,2020-01-01,5260
AL,2020-02-01,3603
AL,2020-03-01,10168
AL,2020-04-01,182526
AL,2020-05-01,111526
AL,2020-06-01,43953
AL,2020-07-01,38537
AL,2020-08-01,17828
AL,2020-09-01,11889
AL,2020-10-01,19446
AL,2020-11-01,22961
AL,2020-12-01,4909
AL,2021-01-01,7809
AL,2021-02-01,7256
AL,2021-03-01,7451
AL,2021-04-01,12180
AL,2021-05-01,5406
AL,2021-06-01,4263
AL,2021-07-01,5736
AL,2021-08-01,3425
AL,2021-09-01,3432
AR,2020-01-01,4359
AR,2020-02-01,2864
AR,2020-03-01,16871
AR,2020-04-01,78263
AR,2020-05-01,52080
AR,2020-06-01,34540
AR,2020-07-01,39682
AR,2020-08-01,20130
AR,2020-09-01,9073
AR,2020-10-01,5848
AR,2020-11-01,4631
AR,2020-12-01,5083
AR,2021-01-01,5127
AR,2021-02-01,3618
AR,2021-03-01,4267
AR,2021-04-01,4818
AR,2021-05-01,4376
AR,2021-06-01,3957
AR,2021-07-01,4406
AR,2021-08-01,2518
AR,2021-09-01,1716
AZ,2020-01-01,4121
AZ,2020-02-01,3875
AZ,2020-03-01,3951
AZ,2020-04-01,162452
AZ,2020-05-01,106134
AZ,2020-06-01,311446
AZ,2020-07-01,270897
AZ,2020-08-01,165315
AZ,2020-09-01,329985
AZ,2020-10-01,272067
AZ,2020-11-01,112619
AZ,2020-12-01,18823
AZ,2021-01-01,36106
AZ,2021-02-01,32034
AZ,2021-03-01,12517
AZ,2021-04-01,23871
AZ,2021-05-01,29034
AZ,2021-06-01,17530
AZ,2021-07-01,13026
AZ,2021-08-01,9213
AZ,2021-09-01,4373
CA,2020-01-01,103380
CA,2020-02-01,81567
CA,2020-03-01,215883
CA,2020-04-01,2079073
CA,2020-05-01,1405414
CA,2020-06-01,780987
CA,2020-07-01,821652
CA,2020-08-01,954658
CA,2020-09-01,328488
CA,2020-10-01,203231
CA,2020-11-01,193188
CA,2020-12-01,202439
CA,2021-01-01,137487
CA,2021-02-01,162757
CA,2021-03-01,132121
CA,2021-04-01,163145
CA,2021-05-01,195435
CA,2021-06-01,170327
CA,2021-07-01,198911
CA,2021-08-01,240648
CA,2021-09-01,88470
CO,2020-01-01,7813
CO,2020-02-01,6520
CO,2020-03-01,16569
CO,2020-04-01,244067
CO,2020-05-01,130063
CO,2020-06-01,86176
CO,2020-07-01,105266
CO,2020-08-01,56059
CO,2020-09-01,23206
CO,2020-10-01,24999
CO,2020-11-01,57975
CO,2020-12-01,99218
CO,2021-01-01,29484
CO,2021-02-01,22750
CO,2021-03-01,79457
CO,2021-04-01,19347
CO,2021-05-01,19186
CO,2021-06-01,20880
CO,2021-07-01,17400
CO,2021-08-01,16064
CO,2021-09-01,7890
CT,2020-01-01,17237
CT,2020-02-01,8456
CT,2020-03-01,29063
CT,2020-04-01,80488
CT,2020-05-01,90653
CT,2020-06-01,61282
CT,2020-07-01,44175
CT,2020-08-01,26185
CT,2020-09-01,14386
CT,2020-10-01,10922
CT,2020-11-01,10085
CT,2020-12-01,15589
CT,2021-01-01,19032
CT,2021-02-01,13512
CT,2021-03-01,14484
CT,2021-04-01,21409
CT,2021-05-01,13067
CT,2021-06-01,11493
CT,2021-07-01,9419
CT,2021-08-01,7461
CT,2021-09-01,8620
DC,2020-01-01,1590
DC,2020-02-01,1408
DC,2020-03-01,3150
DC,2020-04-01,45046
DC,2020-05-01,20267
DC,2020-06-01,11348
DC,2020-07-01,8132
DC,2020-08-01,5149
DC,2020-09-01,4400
DC,2020-10-01,3784
DC,2020-11-01,2604
DC,2020-12-01,2910
DC,2021-01-01,2883
DC,2021-02-01,2709
DC,2021-03-01,3397
DC,2021-04-01,4452
DC,2021-05-01,3413
DC,2021-06-01,3076
DC,2021-07-01,2727
DC,2021-08-01,3117
DC,2021-09-01,1087
DE,2020-01-01,1931
DE,2020-02-01,1931
DE,2020-03-01,10171
DE,2020-04-01,29421
DE,2020-05-01,12437
DE,2020-06-01,10384
DE,2020-07-01,5954
DE,2020-08-01,3131
DE,2020-09-01,1996
DE,2020-10-01,1757
DE,2020-11-01,1486
DE,2020-12-01,2017
DE,2021-01-01,2157
DE,2021-02-01,1896
DE,2021-03-01,1904
DE,2021-04-01,2251
DE,2021-05-01,3030
DE,2021-06-01,2300
DE,2021-07-01,822
DE,2021-08-01,890
DE,2021-09-01,726
FL,2020-01-01,10256
FL,2020-02-01,9998
FL,2020-03-01,9039
FL,2020-04-01,296332
FL,2020-05-01,621768
FL,2020-06-01,442598
FL,2020-07-01,279395
FL,2020-08-01,144114
FL,2020-09-01,107757
FL,2020-10-01,53872
FL,2020-11-01,33749
FL,2020-12-01,35688
FL,2021-01-01,40744
FL,2021-02-01,63139
FL,2021-03-01,26380
FL,2021-04-01,29707
FL,2021-05-01,23787
FL,2021-06-01,14956
FL,2021-07-01,13404
FL,2021-08-01,13092
GA,2020-01-01,22114
GA,2020-02-01,9998
GA,2020-03-01,63392
GA,2020-04-01,454797
GA,2020-05-01,272555
GA,2020-06-01,164285
GA,2020-07-01,144841
GA,2020-08-01,27834
GA,2020-09-01,18059
GA,2020-10-01,17044
GA,2020-11-01,12385
GA,2020-12-01,17921
GA,2021-01-01,18810
GA,2021-02-01,13239
GA,2021-03-01,31023
GA,2021-04-01,35267
GA,2021-05-01,15043
GA,2021-06-01,17852
GA,2021-07-01,12969
GA,2021-08-01,12075
GA,2021-09-01,9964
HI,2020-01-01,2276
HI,2020-02-01,1489
HI,2020-03-01,3447
HI,2020-04-01,57915
HI,2020-05-01,93649
HI,2020-06-01,38849
HI,2020-07-01,16343
HI,2020-08-01,13282
HI,2020-09-01,11700
HI,2020-10-01,5509
HI,2020-11-01,4532
HI,2020-12-01,3560
HI,2021-01-01,2470
HI,2021-02-01,2109
HI,2021-03-01,2477
HI,2021-04-01,6599
HI,2021-05-01,3622
HI,2021-06-01,2998
HI,2021-07-01,2382
HI,2021-08-01,2593
HI,2021-09-01,3184
IA,2020-01-01,18990
IA,2020-02-01,7955
IA,2020-03-01,15862
IA,2020-04-01,148097
IA,2020-05-01,62211
IA,2020-06-01,30079
IA,2020-07-01,18961
IA,2020-08-01,11274
IA,2020-09-01,9263
IA,2020-10-01,6389
IA,2020-11-01,7143
IA,2020-12-01,14104
IA,2021-01-01,16627
IA,2021-02-01,11639
IA,2021-03-01,9584
IA,2021-04-01,8377
IA,2021-05-01,5468
IA,2021-06-01,5398
IA,2021-07-01,3875
IA,2021-08-01,4388
IA,2021-09-01,3143
ID,2020-01-01,4994
ID,2020-02-01,2914
ID,2020-03-01,11499
ID,2020-04-01,34403
ID,2020-05-01,22190
ID,2020-06-01,35569
ID,2020-07-01,10936
ID,2020-08-01,7475
ID,2020-09-01,3811
ID,2020-10-01,3438
ID,2020-11-01,2326
ID,2020-12-01,6476
ID,2021-01-01,5678
ID,2021-02-01,3622
ID,2021-03-01,2728
ID,2021-04-01,2802
ID,2021-05-01,2193
ID,2021-06-01,1724
ID,2021-07-01,1848
ID,2021-08-01,1261
ID,2021-09-01,878
IL,2020-01-01,48931
IL,2020-02-01,26210
IL,2020-03-01,48925
IL,2020-04-01,437455
IL,2020-05-01,265293
IL,2020-06-01,161239
IL,2020-07-01,155441
IL,2020-08-01,56983
IL,2020-09-01,47207
IL,2020-10-01,53910
IL,2020-11-01,91418
IL,2020-12-01,101406
IL,2021-01-01,77793
IL,2021-02-01,58416
IL,2021-03-01,70781
IL,2021-04-01,79716
IL,2021-05-01,44895
IL,2021-06-01,59169
IL,2021-07-01,51757
IL,2021-08-01,29081
IL,2021-09-01,39665
IN,2020-01-01,10442
IN,2020-02-01,7544
IN,2020-03-01,23777
IN,2020-04-01,263011
IN,2020-05-01,201741
IN,2020-06-01,109592
IN,2020-07-01,48583
IN,2020-08-01,35558
IN,2020-09-01,24250
IN,2020-10-01,24651
IN,2020-11-01,35360
IN,2020-12-01,36783
IN,2021-01-01,26445
IN,2021-02-01,32592
IN,2021-03-01,32982
IN,2021-04-01,29873
IN,2021-05-01,24512
IN,2021-06-01,14098
IN,2021-07-01,9918
IN,2021-08-01,14057
IN,2021-09-01,5422
KS,2020-01-01,4506
KS,2020-02-01,3351
KS,2020-03-01,17577
KS,2020-04-01,88574
KS,2020-05-01,100796
KS,2020-06-01,26757
KS,2020-07-01,30412
KS,2020-08-01,15125
KS,2020-09-01,14614
KS,2020-10-01,20615
KS,2020-11-01,27322
KS,2020-12-01,68951
KS,2021-01-01,68414
KS,2021-02-01,3641
KS,2021-03-01,5821
KS,2021-04-01,2996
KS,2021-05-01,3640
KS,2021-06-01,3483
KS,2021-07-01,3395
KS,2021-08-01,2855
KS,2021-09-01,1710
KY,2020-01-01,7368
KY,2020-02-01,4670
KY,2020-03-01,17907
KY,2020-04-01,426523
KY,2020-05-01,97962
KY,2020-06-01,46369
KY,2020-07-01,29606
KY,2020-08-01,24429
KY,2020-09-01,13568
KY,2020-10-01,16809
KY,2020-11-01,15958
KY,2020-12-01,16860
KY,2021-01-01,13095
KY,2021-02-01,8849
KY,2021-03-01,10822
KY,2021-04-01,8668
KY,2021-05-01,6200
KY,2021-06-01,5786
KY,2021-07-01,5634
KY,2021-08-01,11612
KY,2021-09-01,2486
LA,2020-01-01,3502
LA,2020-02-01,2770
LA,2020-03-01,46985
LA,2020-04-01,308830
LA,2020-05-01,131908
LA,2020-06-01,65330
LA,2020-07-01,61368
LA,2020-08-01,28517
LA,2020-09-01,20651
LA,2020-10-01,14662
LA,2020-11-01,18224
LA,2020-12-01,3262
LA,2021-01-01,5195
LA,2021-02-01,6883
LA,2021-03-01,4509
LA,2021-04-01,57554
LA,2021-05-01,26208
LA,2021-06-01,24165
LA,2021-07-01,14221
LA,2021-08-01,5677
LA,2021-09-01,14094
MA,2020-01-01,24660
MA,2020-02-01,17197
MA,2020-03-01,70328
MA,2020-04-01,588295
MA,2020-05-01,423263
MA,2020-06-01,143622
MA,2020-07-01,86290
MA,2020-08-01,50827
MA,2020-09-01,39331
MA,2020-10-01,46798
MA,2020-11-01,60207
MA,2020-12-01,27377
MA,2021-01-01,20884
MA,2021-02-01,21174
MA,2021-03-01,27288
MA,2021-04-01,19563
MA,2021-05-01,13642
MA,2021-06-01,14267
MA,2021-07-01,13542
MA,2021-08-01,11985
MA,2021-09-01,20989
MD,2020-01-01,9724
MD,2020-02-01,5894
MD,2020-03-01,20665
MD,2020-04-01,144041
MD,2020-05-01,134657
MD,2020-06-01,270473
MD,2020-07-01,87948
MD,2020-08-01,25407
MD,2020-09-01,21768
MD,2020-10-01,22399
MD,2020-11-01,16234
MD,2020-12-01,25351
MD,2021-01-01,38616
MD,2021-02-01,40489
MD,2021-03-01,55811
MD,2021-04-01,17565
MD,2021-05-01,38139
MD,2021-06-01,22511
MD,2021-07-01,4000
MD,2021-08-01,8692
MD,2021-09-01,1199
ME,2020-01-01,3611
ME,2020-02-01,2197
ME,2020-03-01,17862
ME,2020-04-01,48113
ME,2020-05-01,53244
ME,2020-06-01,22103
ME,2020-07-01,12638
ME,2020-08-01,7995
ME,2020-09-01,3741
ME,2020-10-01,3926
ME,2020-11-01,4925
ME,2020-12-01,8260
ME,2021-01-01,5216
ME,2021-02-01,3859
ME,2021-03-01,4845
ME,2021-04-01,4022
ME,2021-05-01,2246
ME,2021-06-01,2304
ME,2021-07-01,2182
ME,2021-08-01,1365
ME,2021-09-01,1628
