source,elasticity,abbr
Carling et al. 2001,1.6,C (2001)
Røed & Zhang 2003 (men),0.95,RZ (2003) -men
Røed & Zhang 2003 (women),0.35,RZ (2003) - women
Lalive et al. 2006,0.15,LvOZ (2006)
Arranz et al. 2008,0.8,AMBM (2008)
Card et al. 2015c (high income),2,CLPW (2015) - high inc
Card et al. 2015c (low income),1,CLPW (2015) - low inc
Moffitt 1985,0.36,M (1985)
Solon 1985,0.1,S (1985)
Katz & Meyer 1990,0.8,KM (1990)
Meyer & Mok 2007 (1),0.6,MM (2007) - 1
Meyer & Mok 2007 (2),0.12,MM (2007) - 2
Meyer & Mok 2007 (3),0.23,MM (2007) - 3
Chetty 2008,0.53,C (2008)
Landais 2015,0.29,L (2015)
Kroft & Notowidigdo 2016,0.63,KM (2016)
Card et al. 2015a (recession),1.21,CJLMP (2015) - recession
Card et al. 2015a (boom),0.38,CJLMP (2015) - boom
